none,[]
10,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
11,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
12,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
13,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
14,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
15,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
16,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
17,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
18,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
19,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
20,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
21,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
22,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
23,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
24,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
25,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
26,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
27,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
28,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
29,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
30,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.08, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.11, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
31,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.1, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
32,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.075, 0.095, 0.12, 0.145, 0.12, 0.12, 0.095, 0.095, 0.09, 0.09, 0.135, 0.1, 0.07, 0.145, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.12, 0.07, 0.125, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
33,"[0.0845771144278607, 0.075, 0.095, 0.065, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.12, 0.17, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.105, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
34,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.075, 0.095, 0.12, 0.145, 0.12, 0.12, 0.12, 0.095, 0.09, 0.09, 0.135, 0.15, 0.07, 0.145, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
35,"[0.0845771144278607, 0.075, 0.095, 0.085, 0.085, 0.14, 0.12, 0.07, 0.095, 0.055, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.09, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
36,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.075, 0.095, 0.12, 0.14, 0.12, 0.12, 0.105, 0.095, 0.09, 0.09, 0.135, 0.135, 0.07, 0.145, 0.09, 0.06, 0.1, 0.095, 0.095, 0.08, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
37,"[0.0845771144278607, 0.075, 0.095, 0.085, 0.1, 0.14, 0.12, 0.07, 0.095, 0.055, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.095, 0.07, 0.105, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.08, 0.155, 0.135, 0.08, 0.13, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
38,"[0.08955223880597014, 0.07, 0.095, 0.06, 0.085, 0.14, 0.12, 0.075, 0.095, 0.12, 0.18, 0.12, 0.12, 0.105, 0.095, 0.09, 0.09, 0.135, 0.135, 0.07, 0.145, 0.1, 0.06, 0.1, 0.095, 0.095, 0.105, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
39,"[0.0845771144278607, 0.075, 0.095, 0.085, 0.13, 0.14, 0.12, 0.07, 0.095, 0.055, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.11, 0.1, 0.095, 0.095, 0.07, 0.085, 0.14, 0.07, 0.105, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.12, 0.085, 0.105, 0.125, 0.08, 0.11055276381909548]"
40,"[0.0845771144278607, 0.07, 0.095, 0.06, 0.085, 0.13, 0.125, 0.075, 0.095, 0.12, 0.16, 0.11, 0.12, 0.105, 0.09, 0.09, 0.09, 0.135, 0.135, 0.075, 0.145, 0.14, 0.06, 0.095, 0.095, 0.095, 0.1, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
41,"[0.0845771144278607, 0.075, 0.1, 0.085, 0.11, 0.14, 0.12, 0.07, 0.09, 0.055, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.13, 0.1, 0.095, 0.095, 0.07, 0.085, 0.135, 0.07, 0.105, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.06, 0.155, 0.135, 0.08, 0.13, 0.12, 0.085, 0.105, 0.1, 0.08, 0.11055276381909548]"
42,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.135, 0.075, 0.095, 0.12, 0.12, 0.08, 0.12, 0.105, 0.09, 0.1, 0.09, 0.135, 0.135, 0.075, 0.145, 0.165, 0.06, 0.085, 0.095, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.125, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.13, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
43,"[0.0845771144278607, 0.075, 0.09, 0.085, 0.095, 0.14, 0.12, 0.07, 0.155, 0.055, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.12, 0.1, 0.095, 0.095, 0.07, 0.085, 0.11, 0.07, 0.11, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.08, 0.155, 0.135, 0.08, 0.13, 0.12, 0.085, 0.105, 0.105, 0.08, 0.11055276381909548]"
44,"[0.09950248756218906, 0.07, 0.095, 0.06, 0.085, 0.13, 0.135, 0.075, 0.095, 0.12, 0.1, 0.09, 0.12, 0.105, 0.085, 0.09, 0.09, 0.135, 0.135, 0.115, 0.145, 0.135, 0.06, 0.095, 0.095, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.125, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.14, 0.085, 0.155, 0.125, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
45,"[0.0845771144278607, 0.075, 0.1, 0.085, 0.09, 0.14, 0.12, 0.07, 0.09, 0.075, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.105, 0.1, 0.095, 0.095, 0.07, 0.09, 0.11, 0.07, 0.11, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.075, 0.155, 0.135, 0.08, 0.13, 0.12, 0.085, 0.095, 0.1, 0.08, 0.11055276381909548]"
46,"[0.0845771144278607, 0.08, 0.095, 0.06, 0.085, 0.13, 0.135, 0.075, 0.095, 0.12, 0.1, 0.12, 0.12, 0.105, 0.085, 0.09, 0.09, 0.135, 0.135, 0.11, 0.145, 0.11, 0.06, 0.095, 0.095, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.115, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.155, 0.085, 0.155, 0.11, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
47,"[0.0845771144278607, 0.075, 0.1, 0.085, 0.09, 0.14, 0.12, 0.07, 0.085, 0.14, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.105, 0.1, 0.095, 0.095, 0.07, 0.1, 0.11, 0.07, 0.11, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.11, 0.155, 0.135, 0.08, 0.13, 0.12, 0.095, 0.095, 0.105, 0.08, 0.11055276381909548]"
48,"[0.07462686567164178, 0.095, 0.095, 0.06, 0.085, 0.145, 0.145, 0.075, 0.095, 0.12, 0.1, 0.08, 0.12, 0.105, 0.09, 0.09, 0.09, 0.135, 0.135, 0.11, 0.145, 0.11, 0.06, 0.1, 0.095, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.125, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.15, 0.085, 0.155, 0.125, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
49,"[0.0845771144278607, 0.075, 0.1, 0.085, 0.09, 0.14, 0.12, 0.07, 0.115, 0.14, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.105, 0.1, 0.095, 0.095, 0.07, 0.105, 0.11, 0.07, 0.105, 0.13, 0.07, 0.125, 0.075, 0.07, 0.12, 0.1, 0.14, 0.115, 0.155, 0.135, 0.08, 0.13, 0.12, 0.12, 0.105, 0.11, 0.08, 0.11055276381909548]"
50,"[0.07462686567164178, 0.115, 0.095, 0.06, 0.085, 0.18, 0.12, 0.075, 0.095, 0.12, 0.1, 0.09, 0.12, 0.145, 0.09, 0.09, 0.09, 0.135, 0.135, 0.115, 0.145, 0.11, 0.06, 0.1, 0.095, 0.095, 0.085, 0.085, 0.105, 0.07, 0.105, 0.15, 0.11, 0.125, 0.105, 0.07, 0.14, 0.105, 0.16, 0.085, 0.155, 0.14, 0.08, 0.13, 0.065, 0.085, 0.105, 0.135, 0.075, 0.11055276381909548]"
51,"[0.0845771144278607, 0.075, 0.1, 0.085, 0.09, 0.14, 0.12, 0.07, 0.15, 0.14, 0.145, 0.12, 0.12, 0.1, 0.095, 0.09, 0.09, 0.15, 0.1, 0.07, 0.075, 0.09, 0.105, 0.1, 0.095, 0.095, 0.07, 0.11, 0.11, 0.07, 0.105, 0.13, 0.07, 0.13, 0.075, 0.07, 0.12, 0.11, 0.14, 0.11, 0.155, 0.135, 0.08, 0.13, 0.12, 0.115, 0.115, 0.105, 0.08, 0.11055276381909548]"
